OverallStatus,Status,Hiretype,RecruiterGPN,Title,Age,Original State,PinCode,Source,Department,IT,Joining Center,Facility,Rank,IsRotationalShift,NoticePeriod,Qualification1,Big four,DAndI,hike,JoiningBonus,GoodsTransportationTravelEligibility,Stipend,Experienced,IsNoticePeriodReimbursementProvided,ExpectedJoiningDate,ActualJoiningDate,Target,dum_hiretype,dum_rec,dum_title,date,date1,dum_State,dum_Source,dum_Department,dum_Joining_Center,dum_Rank,dummy_IsRotationalShift,dum_Qual,joiningmonth
Joined,OfferAccepted,New Employee,XE020M36003,1,24.6630137,Tamil Nadu,600028,CAMPUS,GCR,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,MBA,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,2,4,1,3,1,0,3,7
Joined,OfferAccepted,New Employee,XE020M36003,1,22.1890411,West Bengal,700075,CAMPUS,Transfer Pricing,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,5,4,6,1,1,0,2,7
Joined,OfferAccepted,New Employee,XE020M42382,1,32.66575342,Karnataka,560004,EMPLOYEE REFERRAL,Payroll,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,0.29,0,0,0,1,0,13-08-2018,13-08-2018,1,1,2,NA,16-10-2019,16-10-2019 05:30,1,1,8,1,1,0,2,8
Joined,OfferAccepted,Re hire,XE020M36003,0,22.41917808,Tamil Nadu,600076,CAMPUS,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,2,6,NA,16-10-2019,16-10-2019 05:30,2,4,2,3,1,0,2,7
Joined,OfferAccepted,Re hire,XE020M36003,0,23.28493151,Tamil Nadu,600085,CAMPUS,PAS,0,Chennai,CHN DLF/EYLLP/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,02-07-2018,02-07-2018,1,2,6,NA,16-10-2019,16-10-2019 05:30,2,4,2,3,1,0,2,7
OfferDeclined,OfferDeclined,New Employee,XE020M36003,0,22.47671233,Tamil Nadu,641037,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,09-07-2018,NA,0,1,6,NA,16-10-2019,16-10-2019 05:30,2,4,2,1,1,0,2,7
OfferDeclined,OfferDeclined,New Employee,XE020M51545,0,33.06027397,Andhra Pradesh,500081,CONSULTANCY,GDS,0,Bangalore,BLR CORAL/EYGDS/SEZ,42,FALSE,2,MBA,1,0,0.37,0,0,0,1,0,20-08-2018,NA,0,1,7,NA,16-10-2019,16-10-2019 05:30,4,2,7,1,2,0,3,8
Joined,OfferAccepted,New Employee,XE020M36003,1,25.02191781,Karnataka,560077,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Post Grad,0,0,1,0,0,0,1,0,06-08-2018,06-08-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,2,1,1,0,1,8
Joined,OfferAccepted,New Employee,XE020M36003,1,22,Maharashtra,440034,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,Grad,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,9,4,2,1,1,0,2,10
Joined,OfferAccepted,New Employee,XE020M36003,1,27.46849315,Karnataka,560008,CAMPUS,PAS,0,Bangalore,BLR CORAL/EYGDS/SEZ,44,FALSE,2,MBA,0,0,1,0,0,0,1,0,01-10-2018,01-10-2018,1,1,6,NA,16-10-2019,16-10-2019 05:30,1,4,2,1,1,0,3,10
